

*******************************************************************************
Ephemeris / WWW_USER Tue Nov 18 10:08:48 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: (2011 AH5)                      {source: JPL#17}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2031-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2031-Dec-30 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455771.5 ! 2011-Jul-29.00 (TDB)         Residual RMS= .41346        
   EC= .290362445795205    QR= .7652971251597296   TP= 2455638.7177499835      
   OM= 294.7497002420456   W=  267.1915693267901   IN= 6.844145340315383       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.219556268827622E+00  Y=-3.809416479913798E-01  Z=-4.029124595611505E-02
  VX= 6.717032898715208E-03 VY= 1.039226057533811E-02 VZ= 5.955541946777188E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 26.                  G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462867.500000000, A.D. 2031-Jan-01 00:00:00.0000,  8.932082305648425E+07,  1.459289820663196E+08,  8.295760590452354E+07, -2.301366982992636E+01,  6.582254544330554E+00,  4.522740841526945E-01,
2462867.541666667, A.D. 2031-Jan-01 01:00:00.0000,  8.923796267402951E+07,  1.459526599257322E+08,  8.295922371291377E+07, -2.301987534585770E+01,  6.572110987687229E+00,  4.465080324627726E-01,
2462867.583333333, A.D. 2031-Jan-01 02:00:00.0000,  8.915507995855480E+07,  1.459763012596083E+08,  8.296082076003560E+07, -2.302607706168938E+01,  6.561962579042750E+00,  4.407400460755507E-01,
2462867.625000000, A.D. 2031-Jan-01 03:00:00.0000,  8.907217492374825E+07,  1.459999060504774E+08,  8.296239703892347E+07, -2.303227497408996E+01,  6.551809316845529E+00,  4.349701246297732E-01,
2462867.666666667, A.D. 2031-Jan-01 04:00:00.0000,  8.898924758331008E+07,  1.460234742808633E+08,  8.296395254261044E+07, -2.303846907972386E+01,  6.541651199543515E+00,  4.291982677644587E-01,
2462867.708333333, A.D. 2031-Jan-01 05:00:00.0000,  8.890629795094699E+07,  1.460470059332860E+08,  8.296548726412842E+07, -2.304465937525179E+01,  6.531488225583561E+00,  4.234244751185424E-01,
2462867.750000000, A.D. 2031-Jan-01 06:00:00.0000,  8.882332604038320E+07,  1.460705009902580E+08,  8.296700119650793E+07, -2.305084585732986E+01,  6.521320393412715E+00,  4.176487463316051E-01,
2462867.791666667, A.D. 2031-Jan-01 07:00:00.0000,  8.874033186535497E+07,  1.460939594342867E+08,  8.296849433277820E+07, -2.305702852261006E+01,  6.511147701477585E+00,  4.118710810435159E-01,
2462867.833333333, A.D. 2031-Jan-01 08:00:00.0000,  8.865731543960519E+07,  1.461173812478749E+08,  8.296996666596721E+07, -2.306320736774062E+01,  6.500970148223664E+00,  4.060914788940505E-01,
2462867.875000000, A.D. 2031-Jan-01 09:00:00.0000,  8.857427677689424E+07,  1.461407664135188E+08,  8.297141818910158E+07, -2.306938238936520E+01,  6.490787732096671E+00,  4.003099395236491E-01,
2462867.916666667, A.D. 2031-Jan-01 10:00:00.0000,  8.849121589099461E+07,  1.461641149137085E+08,  8.297284889520667E+07, -2.307555358412329E+01,  6.480600451541879E+00,  3.945264625730401E-01,
2462867.958333333, A.D. 2031-Jan-01 11:00:00.0000,  8.840813279568544E+07,  1.461874267309305E+08,  8.297425877730657E+07, -2.308172094865061E+01,  6.470408305003455E+00,  3.887410476828629E-01,
2462868.000000000, A.D. 2031-Jan-01 12:00:00.0000,  8.832502750476342E+07,  1.462107018476638E+08,  8.297564782842404E+07, -2.308788447957832E+01,  6.460211290925794E+00,  3.829536944944262E-01,
2462868.041666667, A.D. 2031-Jan-01 13:00:00.0000,  8.824190003203744E+07,  1.462339402463821E+08,  8.297701604158053E+07, -2.309404417353337E+01,  6.450009407752854E+00,  3.771644026493317E-01,
2462868.083333333, A.D. 2031-Jan-01 14:00:00.0000,  8.815875039132302E+07,  1.462571419095547E+08,  8.297836340979628E+07, -2.310020002713893E+01,  6.439802653927491E+00,  3.713731717890957E-01,
2462868.125000000, A.D. 2031-Jan-01 15:00:00.0000,  8.807557859645331E+07,  1.462803068196441E+08,  8.297968992609020E+07, -2.310635203701361E+01,  6.429591027892794E+00,  3.655800015559096E-01,
2462868.166666667, A.D. 2031-Jan-01 16:00:00.0000,  8.799238466127366E+07,  1.463034349591069E+08,  8.298099558347981E+07, -2.311250019977178E+01,  6.419374528091425E+00,  3.597848915922620E-01,
2462868.208333333, A.D. 2031-Jan-01 17:00:00.0000,  8.790916859963617E+07,  1.463265263103957E+08,  8.298228037498154E+07, -2.311864451202402E+01,  6.409153152964945E+00,  3.539878415405603E-01,
