

*******************************************************************************
Ephemeris / WWW_USER Tue Nov 18 10:42:00 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2031-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2031-Dec-30 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462868.541666667, A.D. 2031-Jan-02 01:00:00.0000, -2.802770598406663E+07,  1.324914371364605E+08,  5.743091495624201E+07, -2.972331707280619E+01, -5.320070726907018E+00, -2.305018882666769E+00,
2462868.583333333, A.D. 2031-Jan-02 02:00:00.0000, -2.813470216570091E+07,  1.324722491682640E+08,  5.742260141997466E+07, -2.971900347087440E+01, -5.339910999075291E+00, -2.313612128532139E+00,
2462868.625000000, A.D. 2031-Jan-02 03:00:00.0000, -2.824168279043913E+07,  1.324529897816299E+08,  5.741425695070670E+07, -2.971467435410523E+01, -5.359747635654797E+00, -2.322203882627382E+00,
2462868.666666667, A.D. 2031-Jan-02 04:00:00.0000, -2.834864780244225E+07,  1.324336589896571E+08,  5.740588155381265E+07, -2.971032973048585E+01, -5.379580630672509E+00, -2.330794142638493E+00,
2462868.708333333, A.D. 2031-Jan-02 05:00:00.0000, -2.845559714589993E+07,  1.324142568054661E+08,  5.739747523467539E+07, -2.970596960795802E+01, -5.399409978168418E+00, -2.339382906251503E+00,
2462868.750000000, A.D. 2031-Jan-02 06:00:00.0000, -2.856253076503034E+07,  1.323947832421985E+08,  5.738903799868609E+07, -2.970159399441866E+01, -5.419235672195311E+00, -2.347970171152439E+00,
2462868.791666667, A.D. 2031-Jan-02 07:00:00.0000, -2.866944860407996E+07,  1.323752383130175E+08,  5.738056985124432E+07, -2.969720289772047E+01, -5.439057706818552E+00, -2.356555935027302E+00,
2462868.833333333, A.D. 2031-Jan-02 08:00:00.0000, -2.877635060732350E+07,  1.323556220311078E+08,  5.737207079775789E+07, -2.969279632567257E+01, -5.458876076115875E+00, -2.365140195562039E+00,
2462868.875000000, A.D. 2031-Jan-02 09:00:00.0000, -2.888323671906370E+07,  1.323359344096750E+08,  5.736354084364305E+07, -2.968837428604106E+01, -5.478690774177204E+00, -2.373722950442527E+00,
2462868.916666667, A.D. 2031-Jan-02 10:00:00.0000, -2.899010688363117E+07,  1.323161754619463E+08,  5.735497999432428E+07, -2.968393678654962E+01, -5.498501795104466E+00, -2.382304197354555E+00,
